participant,group,phase,active_time_s,total_path_m,p95_angspeed_rad_s
P001,BOX,POST,76.21,4.221169191085025,1.0875085707233634
P001,BOX,PRE,210.30599999999998,7.14364626831993,0.698194658011074
P002,SECMA,POST,79.443,4.0049660960274736,1.1411071965388606
P002,SECMA,PRE,139.519,7.526519761224654,0.9129646779487567
P003,SECMA,POST,77.7245,3.010977525808518,0.7554229521817759
P003,SECMA,PRE,243.7655,5.275840423087091,0.5313681977097097
P004,BOX,POST,81.69549999999998,4.5536231357852825,1.0943062995970392
P004,BOX,PRE,149.197,7.0454354582092,0.9661335493456646
P005,BOX,POST,64.965,3.3694385156489544,1.0752423683976047
P005,BOX,PRE,136.404,10.758714121560946,1.0547578384388592
P006,SECMA,POST,122.0845,5.9307245513124744,0.975595458445822
P006,SECMA,PRE,354.95,13.782989489084711,0.7500807852973683
P007,BOX,POST,102.74350000000001,5.163777367078469,1.0609994333446482
P007,BOX,PRE,215.02999999999997,8.14719931228589,0.9591194268188132
P008,SECMA,POST,58.277,3.5756388297789323,1.4953839735882601
P008,SECMA,PRE,137.17000000000002,5.524679761841456,0.8747012380437373
P009,SECMA,POST,102.173,4.983348449233201,0.9090070492109117
P009,SECMA,PRE,216.7855,6.762454296286162,0.5987425057154105
P010,SECMA,POST,56.4985,7.171730732216853,1.4588262997632158
P010,SECMA,PRE,144.613,17.238312480261346,1.0818239270660723
P011,BOX,POST,62.4495,4.174485057507134,1.678189587118476
P011,BOX,PRE,133.428,6.137995776580942,0.929735010986613
P012,BOX,POST,78.11,6.124674573026285,0.9838816064096465
P012,BOX,PRE,133.8035,5.322817253822734,0.7392148223216006
P013,SECMA,POST,63.705,3.8845573045187236,1.1696095601986407
P013,SECMA,PRE,132.348,4.618921659800311,0.7333869858091504
P014,SECMA,POST,96.149,4.060876691321225,0.8495918388822722
P014,SECMA,PRE,188.835,6.37188211843198,0.8899437405306784
P015,BOX,POST,52.9885,3.6306298854024894,1.274224436559702
P015,BOX,PRE,142.327,5.981459883204009,0.780617359639255
P016,SECMA,POST,110.7415,3.0639751787365883,0.7191785835827057
P016,SECMA,PRE,189.859,7.6070474210128705,0.7073247823669153
P017,BOX,POST,98.246,3.9697569500835566,0.8051853382484595
P017,BOX,PRE,114.3545,6.732849491801078,0.7753996671293217
P018,BOX,POST,97.2245,6.119037293946553,0.9110135478011299
P018,BOX,PRE,138.26999999999998,6.679920599928822,0.7537867773050235
