participant,group,active_time_s_POST,active_time_s_PRE,total_path_m_POST,total_path_m_PRE,p95_angspeed_rad_s_POST,p95_angspeed_rad_s_PRE,SECMA
P001,BOX,76.21,210.30599999999998,4.221169191085025,7.14364626831993,1.0875085707233634,0.698194658011074,0
P002,SECMA,79.443,139.519,4.0049660960274736,7.526519761224654,1.1411071965388606,0.9129646779487567,1
P003,SECMA,77.7245,243.7655,3.010977525808518,5.275840423087091,0.7554229521817759,0.5313681977097097,1
P004,BOX,81.69549999999998,149.197,4.5536231357852825,7.0454354582092,1.0943062995970392,0.9661335493456646,0
P005,BOX,64.965,136.404,3.3694385156489544,10.758714121560946,1.0752423683976047,1.0547578384388592,0
P006,SECMA,122.0845,354.95,5.9307245513124744,13.782989489084711,0.975595458445822,0.7500807852973683,1
P007,BOX,102.74350000000001,215.02999999999997,5.163777367078469,8.14719931228589,1.0609994333446482,0.9591194268188132,0
P008,SECMA,58.277,137.17000000000002,3.5756388297789323,5.524679761841456,1.4953839735882601,0.8747012380437373,1
P009,SECMA,102.173,216.7855,4.983348449233201,6.762454296286162,0.9090070492109117,0.5987425057154105,1
P010,SECMA,56.4985,144.613,7.171730732216853,17.238312480261346,1.4588262997632158,1.0818239270660723,1
P011,BOX,62.4495,133.428,4.174485057507134,6.137995776580942,1.678189587118476,0.929735010986613,0
P012,BOX,78.11,133.8035,6.124674573026285,5.322817253822734,0.9838816064096465,0.7392148223216006,0
P013,SECMA,63.705,132.348,3.8845573045187236,4.618921659800311,1.1696095601986407,0.7333869858091504,1
P014,SECMA,96.149,188.835,4.060876691321225,6.37188211843198,0.8495918388822722,0.8899437405306784,1
P015,BOX,52.9885,142.327,3.6306298854024894,5.981459883204009,1.274224436559702,0.780617359639255,0
P016,SECMA,110.7415,189.859,3.0639751787365883,7.6070474210128705,0.7191785835827057,0.7073247823669153,1
P017,BOX,98.246,114.3545,3.9697569500835566,6.732849491801078,0.8051853382484595,0.7753996671293217,0
P018,BOX,97.2245,138.26999999999998,6.119037293946553,6.679920599928822,0.9110135478011299,0.7537867773050235,0
