trial_id,participant,group,phase,rep,n_samples,wall_time_s,active_time_s,total_path_m,mean_speed_m_s,p95_speed_m_s,p95_angspeed_rad_s,median_dt_s,effective_hz,jitter_sd_ms,p99_dt_ms,n_gaps_gt_50ms,max_gap_s,q_sign_flips
T001,P001,BOX,POST,1,8786,93.886,93.886,4.469747234504768,0.0476087472387124,0.1742746862818474,1.0357310497594168,0.0109999999999956,90.90909090912662,0.7636719552527095,12.000000000000457,0,0.0180000000000006,0
T002,P001,BOX,POST,2,5416,58.534,58.534,3.972591147665282,0.0678715748520537,0.2223655435159276,1.13928609168731,0.0109999999999992,90.90909090909724,0.8272131598400269,12.9999999999999,0,0.0169999999999994,0
T003,P001,BOX,PRE,1,20130,217.887,217.887,7.3502649756459215,0.0337341431177889,0.0895550727789596,0.7066950987090667,0.0109999999999956,90.90909090912662,0.8124578444466841,12.9999999999999,0,0.0180000000000006,0
T004,P001,BOX,PRE,2,18725,202.725,202.725,6.937027560993938,0.034218061268666,0.0998968123012816,0.6896942173130813,0.0109999999999956,90.90909090912662,0.8102813866008455,13.000000000000268,0,0.0180000000000006,0
T005,P002,SECMA,POST,1,6773,72.755,72.755,4.132956292646585,0.0568072723513237,0.190248603616409,1.168372234146435,0.0109999999999956,90.90909090912662,0.820238042915928,12.999999999998124,0,0.017000000000003,0
T006,P002,SECMA,POST,2,8035,86.131,86.131,3.8769758994083623,0.045013072093462,0.1776303567754883,1.1138421589312857,0.0109999999999956,90.90909090912662,0.8071000374152408,12.9999999999999,0,0.0280000000000057,0
T007,P002,SECMA,PRE,1,12862,139.519,139.519,7.526519761224654,0.0539442659415413,0.1161973645481802,0.9129646779487568,0.0109999999999956,90.90909090912662,0.8170867674777764,13.000000000001677,0,0.0169999999999959,6796
T008,P003,SECMA,POST,1,8442,90.375,90.375,3.281816591016176,0.036312921472708,0.1010640272926725,0.6973579142570442,0.0109999999999956,90.90909090912662,0.7747277834723557,12.000000000000457,0,0.0190000000000054,0
T009,P003,SECMA,POST,2,5958,65.074,65.074,2.740138460600861,0.0421067438164769,0.15026825640455,0.8134879901065076,0.0109999999999992,90.90909090909724,0.8891321690805323,13.000000000001677,0,0.0180000000000006,0
T010,P003,SECMA,PRE,1,33779,367.156,367.156,6.833050863424868,0.0186106549862117,0.0532907645660235,0.4870159113537561,0.0109999999999956,90.90909090912662,0.8527895655887825,13.00000000000523,0,0.0190000000000054,0
T011,P003,SECMA,PRE,2,11230,120.375,120.375,3.7186299827493143,0.0308925588192599,0.1235412040226406,0.5757204840656632,0.0109999999999956,90.90909090912662,0.7870813898464956,12.999999999998124,0,0.0180000000000006,0
T012,P004,BOX,POST,1,8815,96.737,94.70199999999998,4.390370058896589,0.0463559292461018,0.128110963447685,1.0025176948333423,0.0109999999999956,90.90909090912662,0.7840580506419668,12.000000000000457,1,2.035000000000011,0
T013,P004,BOX,POST,2,6274,68.689,68.689,4.716876212673976,0.0686750365831096,0.2344129951202187,1.1860949043607356,0.0109999999999992,90.90909090909724,0.9476308469092368,13.00000000000523,0,0.0190000000000001,1738
T014,P004,BOX,PRE,1,17614,188.879,188.879,8.933882491173174,0.0472990003821278,0.1262333135723446,0.9577647741668648,0.0109999999999956,90.90909090912662,0.7935536697039599,12.999999999998124,0,0.0180000000000006,16
T015,P004,BOX,PRE,2,10039,109.515,109.515,5.156988425245226,0.0470889041349871,0.1370006116105506,0.9745023245244646,0.0109999999999956,90.90909090912662,0.8858179758524101,13.00000000000523,0,0.0180000000000006,45
T016,P005,BOX,POST,1,6030,64.965,64.965,3.3694385156489544,0.0518646448242032,0.1841342335636405,1.075242368397605,0.0109999999999992,90.90909090909724,0.8037236114368634,12.999999999998124,0,0.0160000000000053,0
T017,P005,BOX,PRE,1,11577,125.418,125.418,10.286687535375432,0.0820166122002477,0.2259007358663267,0.9768975112348344,0.0109999999999956,90.90909090912662,0.8988695144538922,13.000000000001677,0,0.0339999999999989,3346
T018,P005,BOX,PRE,2,13663,147.39,147.39,11.23074070774646,0.0761979571592918,0.2263540289741158,1.132618165642884,0.0109999999999956,90.90909090912662,0.7829255200942318,12.99999999999102,0,0.0180000000000006,10775
T019,P006,SECMA,POST,1,11686,125.549,125.549,6.340271608425308,0.0504983641176529,0.1695800490119077,0.9575770106370068,0.0109999999999956,90.90909090912662,0.8032667011208366,12.9999999999999,0,0.0180000000000006,0
T020,P006,SECMA,POST,2,11063,118.62,118.62,5.521177494199641,0.0465435113821976,0.1500883090605145,0.9936139062546372,0.0109999999999956,90.90909090912662,0.7960000678482029,12.9999999999999,0,0.0189999999999983,0
T021,P006,SECMA,PRE,1,34498,376.015,376.015,14.381970913514245,0.0382486002173326,0.0967193067738129,0.6756901992647005,0.0109999999999956,90.90909090912662,0.8963013091782426,13.00000000000523,0,0.0299999999999727,3348
