metric,margin_SD_PRE,delta_raw,estimate,CI90_low,CI90_high,p_lower,p_upper,TOST_equivalent
active_time_s,0.2,11.800189183821884,-3.538867875652727,-18.79802325127552,11.720287499970066,0.1788050452614951,0.04919488855433223,False
active_time_s,0.3,17.700283775732824,-3.538867875652727,-18.79802325127552,11.720287499970066,0.06228473987747751,0.013787077045742826,False
active_time_s,0.4,23.600378367643767,-3.538867875652727,-18.79802325127552,11.720287499970066,0.01794589967605542,0.0035272539805794615,True
active_time_s,0.5,29.500472959554706,-3.538867875652727,-18.79802325127552,11.720287499970066,0.004648090290845119,0.0008792578564726606,True
total_path_m,0.2,0.6399983302603902,-0.4459773572162631,-1.3882547586892422,0.49630004425671603,0.36157968064885704,0.030785656225620753,False
total_path_m,0.3,0.9599974953905852,-0.4459773572162631,-1.3882547586892422,0.49630004425671603,0.17703935178184604,0.009739481784928382,False
total_path_m,0.4,1.2799966605207804,-0.4459773572162631,-1.3882547586892422,0.49630004425671603,0.07079385047718334,0.0029150899279796662,False
total_path_m,0.5,1.5999958256509754,-0.4459773572162631,-1.3882547586892422,0.49630004425671603,0.024275864428061067,0.0008602673873672986,True
p95_angspeed_rad_s,0.2,0.02988403981738741,0.007591402933459085,-0.19839863811943845,0.21358144398635662,0.3770889261734527,0.42603659386042375,False
p95_angspeed_rad_s,0.3,0.04482605972608111,0.007591402933459085,-0.19839863811943845,0.21358144398635662,0.33095146737987147,0.3778508756569809,False
p95_angspeed_rad_s,0.4,0.05976807963477482,0.007591402933459085,-0.19839863811943845,0.21358144398635662,0.2874835452605897,0.331675362413355,False
p95_angspeed_rad_s,0.5,0.07471009954346852,0.007591402933459085,-0.19839863811943845,0.21358144398635662,0.24719466401236212,0.28815998341710697,False
